id,score,ac_rate,1a_rate,avg_ac_time,avg_score,score_rate,total_submit,ac_Nums,1a_Nums,ac_time,total_score,user_Nums
agc010C,700,26.78260869565217,44.805194805194795,489.2792207792208,470.7423580786026,67.24890829694323,575.0,154.0,69.0,75349.0,1078.0,229.0
agc010D,1000,23.07692307692308,42.028985507246375,497.5507246376812,565.5737704918033,56.55737704918032,299.0,69.0,29.0,34331.0,690.0,122.0
agc010E,1600,17.857142857142858,60.0,406.4,444.4444444444445,27.777777777777786,28.0,5.0,3.0,2032.0,80.0,18.0
agc010F,1600,72.72727272727273,85.71428571428571,45.28571428571429,1445.1612903225805,90.32258064516128,77.0,56.0,48.0,2536.0,896.0,62.0
agc013A,300,45.221295702373325,63.40425531914894,397.36879432624113,266.03773584905656,88.67924528301887,1559.0,705.0,447.0,280145.0,2115.0,795.0
agc013B,500,31.4975845410628,59.8159509202454,390.94785276073617,371.2984054669704,74.25968109339408,1035.0,326.0,195.0,127449.0,1630.0,439.0
agc013C,700,16.417910447761194,42.72727272727273,812.0363636363637,318.1818181818182,45.45454545454545,670.0,110.0,47.0,89324.0,770.0,242.0
agc013D,900,57.44680851063831,74.07407407407408,101.74074074074076,623.0769230769231,69.23076923076923,47.0,27.0,20.0,2747.0,243.0,39.0
agc013E,1600,66.66666666666666,60.0,254.4,1454.5454545454545,90.9090909090909,15.0,10.0,6.0,2544.0,160.0,11.0
agc013F,2000,33.33333333333333,50.0,1078.5,2000.0,100.0,6.0,2.0,1.0,2157.0,40.0,2.0
agc014A,300,47.13091922005572,60.28368794326241,270.9905437352246,277.3770491803279,92.45901639344265,1795.0,846.0,510.0,229258.0,2538.0,915.0
agc014B,500,64.2548596112311,82.01680672268907,117.27058823529413,460.5263157894737,92.10526315789473,926.0,595.0,488.0,69776.0,2975.0,646.0
agc014C,700,26.439790575916227,48.5148514851485,575.0297029702971,492.1113689095128,70.30162412993039,1146.0,303.0,147.0,174234.0,2121.0,431.0
agc014D,900,16.0,53.48837209302325,751.8139534883722,438.5269121813031,48.72521246458923,1075.0,172.0,92.0,129312.0,1548.0,353.0
agc014E,1400,15.573770491803279,47.368421052631575,382.2105263157895,542.8571428571429,38.775510204081634,122.0,19.0,9.0,7262.0,266.0,49.0
agc014F,2400,1.8181818181818181,0.0,3517.0,88.88888888888891,3.7037037037037033,55.0,1.0,0.0,3517.0,24.0,27.0
agc015A,200,51.232166018158225,65.82278481012658,151.5139240506329,181.19266055045867,90.59633027522936,1542.0,790.0,520.0,119696.0,1580.0,872.0
agc015B,400,69.05187835420394,77.33160621761658,152.60621761658032,380.29556650246315,95.07389162561577,1118.0,772.0,597.0,117812.0,3088.0,812.0
agc015C,700,49.843260188087775,74.84276729559748,144.05031446540883,494.6666666666666,70.66666666666667,319.0,159.0,119.0,22904.0,1113.0,225.0
agc015D,900,28.340080971659926,42.857142857142854,450.54285714285714,543.1034482758621,60.3448275862069,247.0,70.0,30.0,31538.0,630.0,116.0
agc015E,1200,54.54545454545454,33.33333333333333,240.66666666666663,1028.5714285714287,85.71428571428572,11.0,6.0,2.0,1444.0,72.0,7.0
agc015F,1700,50.0,0.0,884.0,1700.0,100.0,2.0,1.0,0.0,884.0,17.0,1.0
agc016A,300,66.12627986348123,80.25806451612904,98.29677419354843,278.1100478468899,92.70334928229664,1172.0,775.0,622.0,76180.0,2325.0,836.0
agc016B,700,33.53893600616808,59.31034482758621,427.4850574712643,558.7155963302754,79.8165137614679,1297.0,435.0,258.0,185956.0,3045.0,545.0
agc016C,700,25.181818181818183,32.851985559566785,733.3935018050541,471.7761557177615,67.39659367396594,1100.0,277.0,91.0,203150.0,1939.0,411.0
